Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2026-01-01 09:05:00,0,A285,3,A63,1155.9,USD,1155.9,USD,ACH,0
2026-01-01 09:06:00,1,A96,4,A49,223.93,USD,223.93,USD,ACH,0
2026-01-01 09:15:00,0,A65,1,A221,742.57,USD,742.57,USD,ACH,0
2026-01-01 09:17:00,4,A79,4,A149,243.27,USD,243.27,USD,ACH,0
2026-01-01 09:17:00,2,A267,4,A299,386.88,USD,386.88,USD,ACH,0
2026-01-01 09:18:00,4,A59,3,A68,203.42,USD,203.42,USD,ACH,0
2026-01-01 09:18:00,1,A126,1,A206,192.71,USD,192.71,USD,ACH,0
2026-01-01 09:18:00,3,A298,1,A131,350.52,USD,350.52,USD,ACH,0
2026-01-01 09:19:00,4,A119,4,A79,573.79,USD,573.79,USD,ACH,0
2026-01-01 09:19:00,1,A206,0,A110,261.47,USD,261.47,USD,ACH,0
2026-01-01 09:19:00,0,A295,2,A77,615.12,USD,615.12,USD,ACH,0
2026-01-01 09:22:00,3,A3,3,A198,946.76,USD,946.76,USD,ACH,0
2026-01-01 09:24:00,0,A5,0,A125,194.06,USD,194.06,USD,ACH,0
2026-01-01 09:24:00,3,A288,3,A23,633.4,USD,633.4,USD,ACH,0
2026-01-01 09:25:00,4,A64,3,A123,356.58,USD,356.58,USD,ACH,0
2026-01-01 09:25:00,0,A115,4,A84,88.79,USD,88.79,USD,ACH,0
2026-01-01 09:26:00,1,A46,1,A156,349.81,USD,349.81,USD,ACH,0
2026-01-01 09:27:00,0,A115,1,A1,696.94,USD,696.94,USD,ACH,0
2026-01-01 09:27:00,1,A141,4,A59,540.52,USD,540.52,USD,ACH,0
2026-01-01 09:27:00,3,A158,3,A163,299.57,USD,299.57,USD,ACH,0
2026-01-01 09:28:00,4,A219,3,A113,472.75,USD,472.75,USD,ACH,0
2026-01-01 09:29:00,3,A178,0,A210,368.64,USD,368.64,USD,ACH,0
2026-01-01 09:31:00,4,A204,2,A292,1173.63,USD,1173.63,USD,ACH,0
2026-01-01 09:36:00,3,A143,1,A71,166.12,USD,166.12,USD,ACH,0
2026-01-01 09:37:00,4,A54,1,A156,674.57,USD,674.57,USD,ACH,0
2026-01-01 09:39:00,0,A170,1,A241,357.91,USD,357.91,USD,ACH,0
2026-01-01 09:40:00,0,A95,4,A209,270.03,USD,270.03,USD,ACH,0
2026-01-01 09:40:00,4,A179,4,A39,1222.75,USD,1222.75,USD,ACH,0
2026-01-01 09:41:00,4,A49,3,A63,316.13,USD,316.13,USD,ACH,0
2026-01-01 09:41:00,4,A119,1,A266,796.46,USD,796.46,USD,ACH,0
2026-01-01 09:43:00,3,A68,1,A1,352.38,USD,352.38,USD,ACH,0
2026-01-01 09:45:00,0,A130,4,A114,82.3,USD,82.3,USD,ACH,0
2026-01-01 09:45:00,0,A240,0,A160,131.89,USD,131.89,USD,ACH,0
2026-01-01 09:47:00,1,A26,1,A86,486.79,USD,486.79,USD,ACH,0
2026-01-01 09:49:00,2,A137,1,A261,738.2,USD,738.2,USD,ACH,0
2026-01-01 09:50:00,3,A93,1,A281,278.07,USD,278.07,USD,ACH,0
2026-01-01 09:53:00,2,A132,1,A296,440.49,USD,440.49,USD,ACH,0
2026-01-01 09:54:00,3,A98,1,A196,835.98,USD,835.98,USD,ACH,0
2026-01-01 09:54:00,3,A273,1,A46,347.14,USD,347.14,USD,ACH,0
2026-01-01 09:55:00,3,A63,0,A15,317.74,USD,317.74,USD,ACH,0
2026-01-01 09:57:00,0,A15,3,A133,174.09,USD,174.09,USD,ACH,0
2026-01-01 09:57:00,0,A90,1,A161,286.96,USD,286.96,USD,ACH,0
2026-01-01 09:58:00,1,A131,0,A55,147.21,USD,147.21,USD,ACH,0
2026-01-01 10:01:00,2,A197,1,A11,580.09,USD,580.09,USD,ACH,0
2026-01-01 10:02:00,4,A29,0,A250,1103.74,USD,1103.74,USD,ACH,0
2026-01-01 10:04:00,3,A138,2,A232,395.06,USD,395.06,USD,ACH,0
2026-01-01 10:06:00,4,A159,0,A220,323.37,USD,323.37,USD,ACH,0
2026-01-01 10:08:00,2,A177,1,A226,323.15,USD,323.15,USD,ACH,1
2026-01-01 10:10:00,1,A111,3,A138,109.7,USD,109.7,USD,ACH,0
2026-01-01 10:10:00,2,A152,0,A150,591.3,USD,591.3,USD,ACH,0
2026-01-01 10:11:00,0,A225,3,A133,542.98,USD,542.98,USD,ACH,0
2026-01-01 10:12:00,1,A91,4,A4,103.64,USD,103.64,USD,ACH,0
2026-01-01 10:15:00,4,A244,1,A106,272.47,USD,272.47,USD,ACH,0
2026-01-01 10:19:00,2,A77,0,A200,564.73,USD,564.73,USD,ACH,0
2026-01-01 10:20:00,3,A228,2,A272,281.28,USD,281.28,USD,ACH,0
2026-01-01 10:21:00,3,A73,2,A127,267.66,USD,267.66,USD,ACH,0
2026-01-01 10:21:00,3,A273,2,A77,608.64,USD,608.64,USD,ACH,0
2026-01-01 10:22:00,1,A266,0,A185,292.52,USD,292.52,USD,ACH,0
2026-01-01 10:24:00,0,A210,3,A48,489.97,USD,489.97,USD,ACH,0
2026-01-01 10:26:00,2,A82,0,A90,141.32,USD,141.32,USD,ACH,0
2026-01-01 10:26:00,3,A173,3,A193,576.47,USD,576.47,USD,ACH,0
2026-01-01 10:27:00,3,A18,3,A248,268.46,USD,268.46,USD,ACH,0
2026-01-01 10:27:00,4,A214,2,A247,248.59,USD,248.59,USD,ACH,0
2026-01-01 10:28:00,3,A118,0,A280,214.98,USD,214.98,USD,ACH,0
2026-01-01 10:28:00,4,A239,3,A3,90.49,USD,90.49,USD,ACH,0
2026-01-01 10:28:00,4,A284,4,A174,137.54,USD,137.54,USD,ACH,0
2026-01-01 10:29:00,0,A10,3,A233,463.58,USD,463.58,USD,ACH,0
2026-01-01 10:31:00,0,A140,4,A14,352.33,USD,352.33,USD,ACH,0
2026-01-01 10:31:00,4,A144,3,A158,467.07,USD,467.07,USD,ACH,0
2026-01-01 10:31:00,4,A229,4,A214,440.56,USD,440.56,USD,ACH,0
2026-01-01 10:37:00,3,A33,2,A167,703.58,USD,703.58,USD,ACH,0
2026-01-01 10:38:00,2,A52,1,A241,498.16,USD,498.16,USD,ACH,0
2026-01-01 10:38:00,2,A117,4,A219,656.31,USD,656.31,USD,ACH,0
2026-01-01 10:38:00,4,A124,0,A25,480.1,USD,480.1,USD,ACH,0
2026-01-01 10:38:00,4,A299,2,A67,958.58,USD,958.58,USD,ACH,0
2026-01-01 10:39:00,4,A234,4,A154,211.44,USD,211.44,USD,ACH,0
2026-01-01 10:40:00,3,A8,0,A65,151.73,USD,151.73,USD,ACH,0
2026-01-01 10:41:00,1,A186,3,A163,728.43,USD,728.43,USD,ACH,0
2026-01-01 10:41:00,2,A242,3,A138,310.12,USD,310.12,USD,ACH,0
2026-01-01 10:43:00,3,A218,3,A198,97.18,USD,97.18,USD,ACH,0
2026-01-01 10:44:00,2,A2,1,A6,262.78,USD,262.78,USD,ACH,0
2026-01-01 10:46:00,1,A16,3,A293,1509.04,USD,1509.04,USD,ACH,0
2026-01-01 10:47:00,1,A251,2,A142,429.09,USD,429.09,USD,ACH,0
2026-01-01 10:51:00,0,A30,2,A152,407.06,USD,407.06,USD,ACH,0
2026-01-01 10:51:00,2,A192,1,A46,285.11,USD,285.11,USD,ACH,0
2026-01-01 10:52:00,4,A164,4,A59,456.74,USD,456.74,USD,ACH,0
2026-01-01 10:59:00,4,A174,3,A128,280.71,USD,280.71,USD,ACH,0
2026-01-01 11:08:00,4,A264,1,A296,199.39,USD,199.39,USD,ACH,0
2026-01-01 11:08:00,2,A287,1,A96,649.08,USD,649.08,USD,ACH,0
2026-01-01 11:08:00,3,A293,4,A44,129.68,USD,129.68,USD,ACH,0
2026-01-01 11:10:00,4,A19,2,A67,484.59,USD,484.59,USD,ACH,0
2026-01-01 11:10:00,3,A283,2,A297,318.66,USD,318.66,USD,ACH,0
2026-01-01 11:12:00,1,A31,2,A272,546.99,USD,546.99,USD,ACH,0
2026-01-01 11:13:00,1,A61,1,A156,401.83,USD,401.83,USD,ACH,0
2026-01-01 11:16:00,3,A193,2,A92,120.5,USD,120.5,USD,ACH,0
2026-01-01 11:17:00,1,A76,3,A103,1009.5,USD,1009.5,USD,ACH,0
2026-01-01 11:18:00,2,A62,4,A114,200.57,USD,200.57,USD,ACH,0
2026-01-01 11:18:00,4,A139,3,A158,274.87,USD,274.87,USD,ACH,0
2026-01-01 11:19:00,3,A233,1,A286,87.55,USD,87.55,USD,ACH,0
2026-01-01 11:23:00,3,A128,4,A69,896.45,USD,896.45,USD,ACH,0
2026-01-01 11:24:00,2,A242,4,A279,140.69,USD,140.69,USD,ACH,0
2026-01-01 11:25:00,2,A32,0,A45,65.34,USD,65.34,USD,ACH,0
2026-01-01 11:26:00,0,A190,2,A157,189.59,USD,189.59,USD,ACH,0
2026-01-01 11:26:00,1,A281,2,A87,633.93,USD,633.93,USD,ACH,0
2026-01-01 11:27:00,2,A37,4,A184,1179.01,USD,1179.01,USD,ACH,0
2026-01-01 11:27:00,0,A105,3,A88,374.13,USD,374.13,USD,ACH,0
2026-01-01 11:28:00,2,A177,4,A74,208.88,USD,208.88,USD,ACH,0
2026-01-01 11:28:00,4,A294,0,A40,1215.68,USD,1215.68,USD,ACH,0
2026-01-01 11:29:00,0,A155,4,A19,177.05,USD,177.05,USD,ACH,0
2026-01-01 11:33:00,4,A84,4,A159,261.93,USD,261.93,USD,ACH,0
2026-01-01 11:33:00,4,A224,4,A9,229.18,USD,229.18,USD,ACH,0
2026-01-01 11:36:00,2,A182,1,A141,315.04,USD,315.04,USD,ACH,0
2026-01-01 11:36:00,0,A270,4,A299,82.72,USD,82.72,USD,ACH,0
2026-01-01 11:37:00,0,A15,4,A299,281.0,USD,281.0,USD,ACH,0
2026-01-01 11:37:00,1,A101,0,A285,209.29,USD,209.29,USD,ACH,0
2026-01-01 11:39:00,2,A102,0,A60,750.62,USD,750.62,USD,ACH,0
2026-01-01 11:40:00,4,A89,0,A270,366.29,USD,366.29,USD,ACH,0
2026-01-01 11:41:00,2,A7,4,A169,488.82,USD,488.82,USD,ACH,0
2026-01-01 11:43:00,1,A26,2,A202,555.03,USD,555.03,USD,ACH,0
2026-01-01 11:44:00,0,A80,0,A245,147.18,USD,147.18,USD,ACH,0
2026-01-01 11:45:00,1,A1,4,A289,401.63,USD,401.63,USD,ACH,0
2026-01-01 11:46:00,2,A257,0,A210,428.01,USD,428.01,USD,ACH,0
2026-01-01 11:47:00,3,A83,1,A231,949.49,USD,949.49,USD,ACH,0
2026-01-01 11:51:00,4,A39,3,A198,335.7,USD,335.7,USD,ACH,0
2026-01-01 11:51:00,4,A194,2,A232,1141.27,USD,1141.27,USD,ACH,0
2026-01-01 11:53:00,1,A51,3,A178,69.55,USD,69.55,USD,ACH,0
2026-01-01 11:53:00,2,A262,3,A283,494.12,USD,494.12,USD,ACH,0
2026-01-01 11:56:00,1,A296,0,A85,256.35,USD,256.35,USD,ACH,0
2026-01-01 12:00:00,1,A116,4,A109,2845.88,USD,2845.88,USD,Wire,0
2026-01-01 12:00:00,1,A171,4,A164,2020.52,USD,2020.52,USD,Wire,0
2026-01-01 12:01:00,0,A280,3,A298,140.05,USD,140.05,USD,ACH,0
2026-01-01 12:02:00,4,A34,2,A132,1104.64,USD,1104.64,USD,ACH,0
2026-01-01 12:02:00,2,A97,1,A6,659.8,USD,659.8,USD,ACH,0
2026-01-01 12:02:00,4,A169,4,A244,246.62,USD,246.62,USD,ACH,0
2026-01-01 12:03:00,0,A250,3,A243,1894.79,USD,1894.79,USD,Wire,0
2026-01-01 12:03:00,0,A265,3,A258,2852.71,USD,2852.71,USD,Wire,0
2026-01-01 12:04:00,4,A14,2,A7,2523.31,USD,2523.31,USD,Wire,0
2026-01-01 12:05:00,2,A12,0,A5,2267.07,USD,2267.07,USD,Wire,0
2026-01-01 12:05:00,3,A248,2,A27,341.34,USD,341.34,USD,ACH,0
2026-01-01 12:06:00,4,A119,2,A112,1550.71,USD,1550.71,USD,Wire,0
2026-01-01 12:06:00,4,A194,2,A187,2868.71,USD,2868.71,USD,Wire,0
2026-01-01 12:07:00,4,A139,4,A9,1139.61,USD,1139.61,USD,ACH,0
2026-01-01 12:07:00,3,A168,4,A9,660.61,USD,660.61,USD,ACH,0
2026-01-01 12:07:00,3,A238,1,A231,1346.04,USD,1346.04,USD,Wire,0
2026-01-01 12:07:00,1,A276,4,A269,3128.43,USD,3128.43,USD,Wire,0
2026-01-01 12:08:00,2,A212,0,A205,2449.66,USD,2449.66,USD,Wire,0
2026-01-01 12:08:00,2,A297,0,A290,1201.49,USD,1201.49,USD,Wire,0
2026-01-01 12:10:00,4,A24,4,A214,310.28,USD,310.28,USD,ACH,0
2026-01-01 12:10:00,2,A62,0,A55,2006.33,USD,2006.33,USD,Wire,0
2026-01-01 12:10:00,4,A89,2,A82,1826.17,USD,1826.17,USD,Wire,0
2026-01-01 12:10:00,1,A121,4,A114,1885.94,USD,1885.94,USD,Wire,0
2026-01-01 12:11:00,2,A97,0,A90,1366.18,USD,1366.18,USD,Wire,0
2026-01-01 12:11:00,0,A125,1,A11,918.79,USD,918.79,USD,ACH,0
2026-01-01 12:11:00,4,A214,2,A207,2426.85,USD,2426.85,USD,Wire,0
2026-01-01 12:11:00,1,A241,4,A234,2066.14,USD,2066.14,USD,Wire,0
2026-01-01 12:12:00,2,A162,0,A155,2432.08,USD,2432.08,USD,Wire,0
2026-01-01 12:12:00,4,A254,2,A247,2653.31,USD,2653.31,USD,Wire,0
2026-01-01 12:13:00,1,A46,4,A39,3243.07,USD,3243.07,USD,Wire,0
2026-01-01 12:13:00,0,A245,4,A259,421.35,USD,421.35,USD,ACH,0
2026-01-01 12:14:00,1,A271,4,A264,2204.65,USD,2204.65,USD,Wire,0
2026-01-01 12:15:00,0,A0,3,A13,69.32,USD,69.32,USD,ACH,0
2026-01-01 12:15:00,4,A134,1,A191,284.07,USD,284.07,USD,ACH,0
2026-01-01 12:17:00,0,A235,3,A228,2946.72,USD,2946.72,USD,Wire,0
2026-01-01 12:18:00,1,A296,4,A289,3091.34,USD,3091.34,USD,Wire,0
2026-01-01 12:19:00,0,A60,3,A293,174.25,USD,174.25,USD,ACH,0
2026-01-01 12:19:00,1,A216,4,A209,2947.69,USD,2947.69,USD,Wire,0
2026-01-01 12:19:00,0,A275,3,A268,2709.51,USD,2709.51,USD,Wire,0
2026-01-01 12:19:00,4,A294,2,A287,2528.94,USD,2528.94,USD,Wire,0
2026-01-01 12:20:00,4,A109,2,A122,2697.16,USD,2697.16,USD,Wire,0
2026-01-01 12:20:00,3,A113,4,A244,133.23,USD,133.23,USD,ACH,0
2026-01-01 12:20:00,4,A164,2,A177,1894.62,USD,1894.62,USD,Wire,0
2026-01-01 12:20:00,1,A216,1,A286,669.65,USD,669.65,USD,ACH,0
2026-01-01 12:21:00,0,A45,1,A166,251.94,USD,251.94,USD,ACH,0
2026-01-01 12:23:00,3,A243,1,A256,1770.8,USD,1770.8,USD,Wire,0
2026-01-01 12:23:00,3,A258,1,A271,2731.04,USD,2731.04,USD,Wire,0
2026-01-01 12:24:00,2,A7,0,A20,2398.46,USD,2398.46,USD,Wire,0
2026-01-01 12:25:00,0,A5,3,A18,2090.31,USD,2090.31,USD,Wire,0
2026-01-01 12:25:00,4,A14,2,A117,312.91,USD,312.91,USD,ACH,0
2026-01-01 12:26:00,2,A112,0,A125,1425.12,USD,1425.12,USD,Wire,0
2026-01-01 12:26:00,2,A187,0,A200,2769.03,USD,2769.03,USD,Wire,0
2026-01-01 12:27:00,0,A135,4,A209,447.83,USD,447.83,USD,ACH,0
2026-01-01 12:27:00,1,A231,4,A244,1244.73,USD,1244.73,USD,Wire,0
2026-01-01 12:27:00,4,A269,2,A282,2890.63,USD,2890.63,USD,Wire,0
2026-01-01 12:27:00,4,A299,1,A156,565.11,USD,565.11,USD,ACH,0
2026-01-01 12:28:00,0,A205,3,A218,2328.93,USD,2328.93,USD,Wire,0
2026-01-01 12:28:00,0,A290,3,A3,1148.19,USD,1148.19,USD,Wire,0
2026-01-01 12:29:00,3,A23,1,A91,135.69,USD,135.69,USD,ACH,0
2026-01-01 12:29:00,4,A154,2,A62,317.15,USD,317.15,USD,ACH,0
2026-01-01 12:30:00,0,A55,3,A68,1881.55,USD,1881.55,USD,Wire,0
2026-01-01 12:30:00,2,A82,0,A95,1784.79,USD,1784.79,USD,Wire,0
2026-01-01 12:30:00,4,A114,2,A127,1858.19,USD,1858.19,USD,Wire,0
2026-01-01 12:30:00,2,A162,1,A151,544.73,USD,544.73,USD,ACH,0
2026-01-01 12:31:00,0,A90,3,A103,1240.64,USD,1240.64,USD,Wire,0
2026-01-01 12:31:00,2,A157,3,A113,599.6,USD,599.6,USD,ACH,0
2026-01-01 12:31:00,2,A207,0,A220,2279.63,USD,2279.63,USD,Wire,0
2026-01-01 12:31:00,4,A234,2,A247,1970.51,USD,1970.51,USD,Wire,0
2026-01-01 12:32:00,0,A155,3,A168,2280.4,USD,2280.4,USD,Wire,0
2026-01-01 12:32:00,2,A247,0,A260,2538.08,USD,2538.08,USD,Wire,0
2026-01-01 12:33:00,4,A39,2,A52,3086.79,USD,3086.79,USD,Wire,0
2026-01-01 12:34:00,4,A264,2,A277,2002.44,USD,2002.44,USD,Wire,0
2026-01-01 12:36:00,0,A235,0,A85,142.37,USD,142.37,USD,ACH,0
2026-01-01 12:37:00,3,A228,1,A241,2823.17,USD,2823.17,USD,Wire,0
2026-01-01 12:38:00,0,A70,0,A155,489.8,USD,489.8,USD,ACH,0
2026-01-01 12:38:00,4,A289,2,A2,3050.64,USD,3050.64,USD,Wire,0
2026-01-01 12:39:00,4,A209,2,A222,2718.3,USD,2718.3,USD,Wire,0
2026-01-01 12:39:00,3,A268,1,A281,2657.0,USD,2657.0,USD,Wire,0
2026-01-01 12:39:00,2,A287,0,A0,2483.35,USD,2483.35,USD,Wire,0
2026-01-01 12:41:00,4,A154,4,A134,1054.24,USD,1054.24,USD,ACH,0
2026-01-01 12:41:00,3,A298,4,A104,487.41,USD,487.41,USD,ACH,0
2026-01-01 12:42:00,0,A250,4,A279,749.31,USD,749.31,USD,ACH,0
2026-01-01 12:43:00,1,A86,0,A25,473.63,USD,473.63,USD,ACH,0
2026-01-01 12:43:00,3,A203,4,A19,128.3,USD,128.3,USD,ACH,0
2026-01-01 12:44:00,2,A87,2,A82,640.28,USD,640.28,USD,ACH,0
2026-01-01 12:45:00,2,A167,0,A20,149.67,USD,149.67,USD,ACH,0
2026-01-01 12:45:00,0,A175,0,A110,96.47,USD,96.47,USD,ACH,0
2026-01-01 12:46:00,4,A79,1,A81,335.07,USD,335.07,USD,ACH,0
2026-01-01 12:46:00,0,A275,4,A169,522.9,USD,522.9,USD,ACH,0
2026-01-01 12:47:00,4,A169,1,A96,583.19,USD,583.19,USD,ACH,0
2026-01-01 12:47:00,2,A217,1,A81,780.52,USD,780.52,USD,ACH,0
2026-01-01 12:49:00,4,A44,1,A171,697.13,USD,697.13,USD,ACH,0
2026-01-01 12:50:00,2,A202,4,A84,245.31,USD,245.31,USD,ACH,0
2026-01-01 12:52:00,4,A184,2,A87,149.95,USD,149.95,USD,ACH,0
2026-01-01 12:53:00,0,A50,1,A266,146.2,USD,146.2,USD,ACH,0
2026-01-01 12:54:00,0,A100,2,A102,310.97,USD,310.97,USD,ACH,0
2026-01-01 12:55:00,1,A66,3,A293,537.07,USD,537.07,USD,ACH,0
2026-01-01 12:58:00,2,A132,2,A152,1099.86,USD,1099.86,USD,ACH,0
2026-01-01 12:58:00,0,A195,1,A66,184.68,USD,184.68,USD,ACH,0
2026-01-01 13:00:00,2,A257,2,A262,811.21,USD,811.21,USD,ACH,0
2026-01-01 13:00:00,2,A282,0,A10,264.22,USD,264.22,USD,ACH,0
2026-01-01 13:02:00,3,A158,0,A65,412.47,USD,412.47,USD,ACH,0
2026-01-01 13:04:00,2,A122,4,A149,188.17,USD,188.17,USD,ACH,0
2026-01-01 13:05:00,3,A123,0,A200,370.82,USD,370.82,USD,ACH,0
2026-01-01 13:06:00,0,A210,3,A73,185.29,USD,185.29,USD,ACH,0
2026-01-01 13:10:00,0,A110,3,A43,139.7,USD,139.7,USD,ACH,0
2026-01-01 13:12:00,1,A256,1,A261,139.58,USD,139.58,USD,ACH,0
2026-01-01 13:13:00,0,A5,0,A195,800.59,USD,800.59,USD,ACH,0
2026-01-01 13:15:00,4,A99,0,A125,704.43,USD,704.43,USD,ACH,0
2026-01-01 13:16:00,4,A239,2,A287,726.76,USD,726.76,USD,ACH,0
2026-01-01 13:17:00,3,A58,1,A191,2510.94,USD,2510.94,USD,ACH,0
2026-01-01 13:18:00,2,A172,0,A20,2004.38,USD,2004.38,USD,ACH,0
2026-01-01 13:18:00,4,A174,4,A229,313.3,USD,313.3,USD,ACH,0
2026-01-01 13:19:00,4,A274,1,A26,599.14,USD,599.14,USD,ACH,0
2026-01-01 13:22:00,1,A116,1,A216,2014.55,USD,2014.55,USD,ACH,0
2026-01-01 13:22:00,2,A227,1,A286,1457.35,USD,1457.35,USD,ACH,0
2026-01-01 13:24:00,3,A143,1,A31,155.0,USD,155.0,USD,ACH,0
2026-01-01 13:24:00,2,A217,2,A42,143.73,USD,143.73,USD,ACH,0
2026-01-01 13:25:00,1,A36,1,A246,758.61,USD,758.61,USD,ACH,0
2026-01-01 13:25:00,0,A155,4,A19,199.45,USD,199.45,USD,ACH,0
2026-01-01 13:28:00,2,A142,0,A70,387.36,USD,387.36,USD,ACH,0
2026-01-01 13:28:00,1,A216,1,A111,152.09,USD,152.09,USD,ACH,0
2026-01-01 13:28:00,3,A278,4,A24,778.33,USD,778.33,USD,ACH,0
2026-01-01 13:30:00,4,A59,2,A57,663.71,USD,663.71,USD,ACH,0
2026-01-01 13:32:00,2,A147,2,A237,780.17,USD,780.17,USD,ACH,0
2026-01-01 13:34:00,3,A233,2,A212,589.73,USD,589.73,USD,ACH,0
2026-01-01 13:36:00,4,A189,4,A184,861.85,USD,861.85,USD,ACH,0
2026-01-01 13:38:00,3,A103,0,A145,203.71,USD,203.71,USD,ACH,0
2026-01-01 13:40:00,1,A56,3,A278,1064.62,USD,1064.62,USD,ACH,0
2026-01-01 13:41:00,2,A32,0,A175,309.59,USD,309.59,USD,ACH,0
2026-01-01 13:42:00,1,A146,1,A191,366.52,USD,366.52,USD,ACH,0
2026-01-01 13:46:00,3,A33,1,A256,608.07,USD,608.07,USD,ACH,0
2026-01-01 13:49:00,4,A29,2,A82,1068.47,USD,1068.47,USD,ACH,0
2026-01-01 13:51:00,2,A92,4,A244,1433.96,USD,1433.96,USD,ACH,0
2026-01-01 13:51:00,1,A251,2,A267,226.28,USD,226.28,USD,ACH,0
2026-01-01 13:53:00,3,A238,1,A76,306.72,USD,306.72,USD,ACH,0
2026-01-01 13:54:00,2,A57,0,A195,303.87,USD,303.87,USD,ACH,0
2026-01-01 13:54:00,3,A108,4,A164,587.77,USD,587.77,USD,ACH,0
2026-01-01 13:54:00,2,A237,2,A172,159.76,USD,159.76,USD,ACH,0
2026-01-01 13:57:00,0,A185,1,A101,136.67,USD,136.67,USD,ACH,0
2026-01-01 13:57:00,3,A238,2,A187,685.65,USD,685.65,USD,ACH,0
2026-01-01 13:58:00,3,A268,2,A217,611.68,USD,611.68,USD,ACH,0
2026-01-01 13:59:00,1,A156,3,A238,510.68,USD,510.68,USD,ACH,0
2026-01-01 14:00:00,2,A212,4,A79,198.68,USD,198.68,USD,ACH,0
2026-01-01 14:01:00,4,A114,1,A136,346.4,USD,346.4,USD,ACH,0
